id;control;cultivar;ano;Quantidade (Kg)
5;br_Cardinal; Cardinal;1997;0
6;br_Golden Queen; Golden Queen;1997;0
7;br_Patrícia; Patrícia;1997;0
8;br_Perlona; Perlona;1997;0
9;br_Italia; Italia;1997;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1997;0
1;TINTAS;TINTAS;1998;21638
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1998;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1998;0
4;BRANCAS;BRANCAS;1998;0
5;br_Cardinal; Cardinal;1998;0
6;br_Golden Queen; Golden Queen;1998;0
7;br_Patrícia; Patrícia;1998;0
8;br_Perlona; Perlona;1998;0
9;br_Italia; Italia;1998;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1998;0
1;TINTAS;TINTAS;1999;480
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1999;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1999;0
4;BRANCAS;BRANCAS;1999;0
5;br_Cardinal; Cardinal;1999;0
6;br_Golden Queen; Golden Queen;1999;0
7;br_Patrícia; Patrícia;1999;0
8;br_Perlona; Perlona;1999;0
9;br_Italia; Italia;1999;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1999;0
1;TINTAS;TINTAS;2000;13877
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2000;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2000;13877
4;BRANCAS;BRANCAS;2000;602113
5;br_Cardinal; Cardinal;2000;0
6;br_Golden Queen; Golden Queen;2000;0
7;br_Patrícia; Patrícia;2000;20515
8;br_Perlona; Perlona;2000;581598
9;br_Italia; Italia;2000;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2000;0
1;TINTAS;TINTAS;2001;23660
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2001;3613
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2001;20047
4;BRANCAS;BRANCAS;2001;118013
5;br_Cardinal; Cardinal;2001;0
6;br_Golden Queen; Golden Queen;2001;0
7;br_Patrícia; Patrícia;2001;23661
8;br_Perlona; Perlona;2001;94352
9;br_Italia; Italia;2001;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2001;0
1;TINTAS;TINTAS;2002;23239
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2002;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2002;23239
4;BRANCAS;BRANCAS;2002;100923
5;br_Cardinal; Cardinal;2002;0
6;br_Golden Queen; Golden Queen;2002;0
7;br_Patrícia; Patrícia;2002;42357
8;br_Perlona; Perlona;2002;58566
9;br_Italia; Italia;2002;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2002;0
1;TINTAS;TINTAS;2003;7366
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2003;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2003;7366
4;BRANCAS;BRANCAS;2003;136658
5;br_Cardinal; Cardinal;2003;0
6;br_Golden Queen; Golden Queen;2003;0
7;br_Patrícia; Patrícia;2003;75480
8;br_Perlona; Perlona;2003;61178
9;br_Italia; Italia;2003;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2003;0
1;TINTAS;TINTAS;2004;49698
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2004;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2004;49698
4;BRANCAS;BRANCAS;2004;73187
5;br_Cardinal; Cardinal;2004;0
6;br_Golden Queen; Golden Queen;2004;0
7;br_Patrícia; Patrícia;2004;6172
8;br_Perlona; Perlona;2004;33155
9;br_Italia; Italia;2004;33860
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2004;0
1;TINTAS;TINTAS;2005;49820
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2005;1500
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2005;48320
4;BRANCAS;BRANCAS;2005;39470
5;br_Cardinal; Cardinal;2005;1620
6;br_Golden Queen; Golden Queen;2005;0
7;br_Patrícia; Patrícia;2005;0
8;br_Perlona; Perlona;2005;32105
9;br_Italia; Italia;2005;1630
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2005;4115
1;TINTAS;TINTAS;2006;36105
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2006;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2006;36105
4;BRANCAS;BRANCAS;2006;17889
5;br_Cardinal; Cardinal;2006;0
6;br_Golden Queen; Golden Queen;2006;0
7;br_Patrícia; Patrícia;2006;0
8;br_Perlona; Perlona;2006;14569
9;br_Italia; Italia;2006;3320
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2006;0
1;TINTAS;TINTAS;2007;66970
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2007;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2007;66970
4;BRANCAS;BRANCAS;2007;36619
5;br_Cardinal; Cardinal;2007;0
6;br_Golden Queen; Golden Queen;2007;0
7;br_Patrícia; Patrícia;2007;0
8;br_Perlona; Perlona;2007;25899
9;br_Italia; Italia;2007;5130
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2007;5590
1;TINTAS;TINTAS;2008;101101
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2008;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2008;101101
4;BRANCAS;BRANCAS;2008;55297
5;br_Cardinal; Cardinal;2008;4610
6;br_Golden Queen; Golden Queen;2008;0
7;br_Patrícia; Patrícia;2008;0
8;br_Perlona; Perlona;2008;37376
9;br_Italia; Italia;2008;2300
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2008;11011
1;TINTAS;TINTAS;2009;84397
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2009;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2009;84397
4;BRANCAS;BRANCAS;2009;14440
5;br_Cardinal; Cardinal;2009;0
6;br_Golden Queen; Golden Queen;2009;0
7;br_Patrícia; Patrícia;2009;0
8;br_Perlona; Perlona;2009;11335
9;br_Italia; Italia;2009;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2009;3105
1;TINTAS;TINTAS;2010;31771
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2010;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2010;31771
4;BRANCAS;BRANCAS;2010;11575
5;br_Cardinal; Cardinal;2010;0
6;br_Golden Queen; Golden Queen;2010;0
