Id;País;ano;Quantidade (Kg)
4;Chile;1978;2178091
5;Colômbia;1978;183724
6;Egito;1978;0
7;Espanha;1978;0
8;Estados Unidos;1978;17394
9;Grécia;1978;0
10;Itália;1978;0
11;México;1978;0
12;Peru;1978;1425
13;Paraguai;1978;0
14;Portugal;1978;0
15;Panamá;1978;0
16;Reino Unido;1978;0
17;Uruguai;1978;0
18;Venezuela;1978;0
19;Não consta na tabela;1978;0
20;Outros;1978;0
1;Argélia;1979;0
2;Argentina;1979;490090
3;Brasil;1979;0
4;Chile;1979;3032695
5;Colômbia;1979;250150
6;Egito;1979;0
7;Espanha;1979;70000
8;Estados Unidos;1979;35014
9;Grécia;1979;0
10;Itália;1979;0
11;México;1979;59980
12;Peru;1979;0
13;Paraguai;1979;0
14;Portugal;1979;0
15;Panamá;1979;0
16;Reino Unido;1979;0
17;Uruguai;1979;0
18;Venezuela;1979;0
19;Não consta na tabela;1979;0
20;Outros;1979;0
1;Argélia;1979;0
2;Argentina;1979;419189
3;Brasil;1979;0
4;Chile;1979;2400561
5;Colômbia;1979;229134
6;Egito;1979;0
7;Espanha;1979;40600
8;Estados Unidos;1979;27840
9;Grécia;1979;0
10;Itália;1979;0
11;México;1979;53982
12;Peru;1979;0
13;Paraguai;1979;0
14;Portugal;1979;0
15;Panamá;1979;0
16;Reino Unido;1979;0
17;Uruguai;1979;0
18;Venezuela;1979;0
19;Não consta na tabela;1979;0
20;Outros;1979;0
1;Argélia;1980;0
2;Argentina;1980;276000
3;Brasil;1980;0
4;Chile;1980;1334991
5;Colômbia;1980;65176
6;Egito;1980;0
7;Espanha;1980;0
8;Estados Unidos;1980;167893
9;Grécia;1980;0
10;Itália;1980;0
11;México;1980;0
12;Peru;1980;3500
13;Paraguai;1980;0
14;Portugal;1980;0
15;Panamá;1980;0
16;Reino Unido;1980;0
17;Uruguai;1980;0
18;Venezuela;1980;0
19;Não consta na tabela;1980;0
20;Outros;1980;0
1;Argélia;1980;0
2;Argentina;1980;253558
3;Brasil;1980;0
4;Chile;1980;1237355
5;Colômbia;1980;83747
6;Egito;1980;0
7;Espanha;1980;0
8;Estados Unidos;1980;165275
9;Grécia;1980;0
10;Itália;1980;0
11;México;1980;0
12;Peru;1980;2625
