id;control;cultivar;ano;Quantidade (Kg)
26;ti_Kyoko;Kyoko;1973;0
27;ti_Landot;Landot;1973;80995
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;1973;0
29;ti_Oberlin;Oberlin;1973;9483
30;ti_Othello;Othello;1973;17358
31;ti_Paco;Paco;1973;0
32;ti_Patricia;Patricia;1973;0
33;ti_Seibel;Seibel;1973;7724880
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);1973;0
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);1973;0
36;ti_Vênus;Vênus;1973;0
37;BRANCASEROSADAS;BRANCAS E ROSADAS;1973;231984
38;br_Baco;Baco;1973;0
39;br_Bokay;Bokay;1973;0
40;br_BRS Bibiana ;BRS Bibiana ;1973;0
41;br_BRSClara;BRS Clara;1973;0
42;br_BRSLorena;BRS Lorena;1973;0
43;br_Couderc13;Couderc 13;1973;0
44;br_Delaware;Delaware;1973;0
45;br_DonaZillá;Dona Zillá;1973;0
46;br_DutChess;Dut Chess;1973;0
47;br_Goethe;Goethe;1973;113941
48;br_IAC;IAC;1973;0
49;br_Juliana;Juliana;1973;0
50;br_Martha;Martha;1973;5126
51;br_Mistura de uvas americanas;Mistura de uvas americanas;1973;0
52;br_MoscatoEmbrapa;Moscato Embrapa;1973;0
53;br_Niagara;Niagara;1973;112917
54;br_NiagaraBranca;Niagara Branca;1973;0
55;br_NiagaraRosada;Niagara Rosada;1973;0
56;br_Poloske;Poloske;1973;0
57;br_Seleções;Seleções;1973;0
58;br_SeyveVillard;Seyve Villard;1973;0
59;br_SeyveVillard5276;Seyve Villard 5276;1973;0
60;br_SeyveVillard12375;Seyve Villard 12375;1973;0
61;br_TardiadeCaxias;Tardia de Caxias;1973;0
62;br_Outras;Outras(2);1973;0
1;TINTAS;TINTAS;1974;295404693
2;ti_Bacarina;Bacarina;1974;138158
3;ti_Bailey;Bailey;1974;0
4;ti_Bordo;Bordo;1974;13341412
5;ti_Bourdin (S);Bourdin (S);1974;0
6;ti_BRSCarmen;BRS Carmen;1974;0
7;ti_BRSCora;BRS Cora;1974;0
